Product ID,Category,Sub Category,Color,Sizes,Production Cost
472,Feminine,Shirts and Blouses,,S|M|L|XL,12.77
473,Feminine,T-shirts and Tops,,S|M|L|XL,7.01
474,Feminine,Pants and Jeans,,36|38|40|42|44|46,25.35
475,Feminine,Skirts and Shorts,,S|M|L|XL,7.34
476,Feminine,Suits and Sets,,S|M|L|XL,24.68
477,Feminine,Sportswear,,S|M|L|XL,11.2
478,Feminine,Pajamas,,S|M|L|XL,9.01
479,Feminine,Accessories,,,6.18
480,Masculine,Coats and Blazers,BLACK,M|L|XL|XXL,14.23
481,Masculine,Sweaters and Sweatshirts,PINK,M|L|XL|XXL,24.16
482,Masculine,T-shirts and Polos,GREEN,M|L|XL,16.51
483,Masculine,Shirts,,M|L|XL|XXL,8.71
484,Masculine,Pants and Jeans,,38|40|42|44|46|48,18.03
485,Masculine,Suits,,M|L|XL,12.09
486,Masculine,Sportswear,,M|L|XL|XXL,9.82
487,Masculine,Blazers,,M|L|XL|XXL,8.1
488,Masculine,Accessories,,,8.22
489,Children,Baby (0-12 months),,P|M|G,12.57
490,Children,"Girl and Boy (1-5 years, 6-14 years)",TURQUOISE,P|M|G|GG,27.49
491,Children,Coats,YELLOW,P|M|G,19.03
492,Children,Sweaters,,P|M|G,8.52
493,Children,Pajamas-2,,P|M|G,5.21
494,Children,Accessories,,,4.94
495,Feminine,Coats and Blazers,YELLOW,S|M|L|XL,17.04
496,Feminine,Sweaters and Knitwear,LILAC,S|M|L|XL,12.69
497,Feminine,Dresses and Jumpsuits,BLUE,S|M|L,11.17
498,Feminine,Shirts and Blouses,,S|M|L|XL,17.38
499,Feminine,T-shirts and Tops,,S|M|L|XL,11.01
500,Feminine,Pants and Jeans,,36|38|40|42|44|46,19.81
501,Feminine,Skirts and Shorts,,S|M|L|XL,10.38
502,Feminine,Suits and Sets,,S|M|L|XL,23.99
503,Feminine,Sportswear,,S|M|L|XL,12.99
504,Feminine,Pajamas,,S|M|L|XL,9.29
505,Feminine,Accessories,,,3.35
506,Masculine,Coats and Blazers,,M|L|XL,50.16
507,Masculine,Sweaters and Sweatshirts,GREEN,M|L|XL|XXL,16.93
508,Masculine,T-shirts and Polos,GOLD,M|L|XL|XXL,15.23
509,Masculine,Shirts,,M|L|XL|XXL,17.75
510,Masculine,Pants and Jeans,,38|40|42|44|46|48,38.54
511,Masculine,Suits,,M|L|XL|XXL,43.65
512,Masculine,Sportswear,,M|L|XL|XXL,30.2
513,Masculine,Blazers,,M|L|XL,20.11
514,Masculine,Accessories,,,1.88
515,Children,Baby (0-12 months),TURQUOISE,P|M|G,12.24
516,Children,"Girl and Boy (1-5 years, 6-14 years)",PINK,P|M|G|GG,16.37
517,Children,Coats,BURGUNDY,P|M|G,23.78
518,Children,Sweaters,,P|M|G,20.05
519,Children,Pajamas-2,,P|M|G,10.65
520,Children,Accessories,,,8.3
521,Feminine,Coats and Blazers,BLUE,S|M|L|XL,20.61
522,Feminine,Sweaters and Knitwear,WHITE,S|M|L|XL,10.13
523,Feminine,Dresses and Jumpsuits,BLACK,S|M|L|XL,20.9
524,Feminine,Shirts and Blouses,,S|M|L|XL,21.39
525,Feminine,T-shirts and Tops,,S|M|L|XL,9.64
526,Feminine,Pants and Jeans,,36|38|40|42|44|46,16.75
527,Feminine,Skirts and Shorts,,S|M|L|XL,9
528,Feminine,Suits and Sets,,S|M|L|XL,34.81
529,Feminine,Sportswear,,S|M|L|XL,34.05
530,Feminine,Pajamas,,S|M|L|XL,9.98
531,Feminine,Accessories,,,9.34
532,Masculine,Coats and Blazers,,M|L|XL|XXL,16.4
533,Masculine,Sweaters and Sweatshirts,TURQUOISE,M|L|XL|XXL,7.98
534,Masculine,T-shirts and Polos,LILAC,M|L|XL|XXL,29.99
535,Masculine,Shirts,,M|L|XL|XXL,14.99
536,Masculine,Pants and Jeans,,38|40|42|44|46|48,35.93
537,Masculine,Suits,,M|L|XL|XXL,32.66
538,Masculine,Sportswear,,M|L|XL,8.04
539,Masculine,Blazers,,M|L|XL|XXL,6.66
540,Masculine,Accessories,,,9.46
541,Children,Baby (0-12 months),GREEN,P|M|G,7.76
542,Children,"Girl and Boy (1-5 years, 6-14 years)",,P|M|G|GG,15.84
543,Children,Coats,WHITE,P|M|G,31.06
544,Children,Sweaters,,P|M|G,24.77
545,Children,Pajamas-2,,P|M|G,4.19
546,Children,Accessories,,,1.82
547,Feminine,Coats and Blazers,GREEN,S|M|L|XL,25.6
548,Feminine,Sweaters and Knitwear,RED,S|M|L|XL,10.78
549,Feminine,Dresses and Jumpsuits,RED,S|M|L|XL,20.42
550,Feminine,Shirts and Blouses,,S|M|L|XL,25.8
551,Feminine,T-shirts and Tops,,S|M|L|XL,9.3
552,Feminine,Pants and Jeans,,36|38|40|42|44|46,3.6
553,Feminine,Skirts and Shorts,,S|M|L|XL,16.11
554,Feminine,Suits and Sets,,S|M|L|XL,16.47
555,Feminine,Sportswear,,S|M|L|XL,25.2
556,Feminine,Pajamas,,S|M|L|XL,4.98
557,Feminine,Accessories,,,3.79
558,Masculine,Coats and Blazers,LILAC,M|L|XL|XXL,9.39
559,Masculine,Sweaters and Sweatshirts,NEUTRAL,M|L|XL,14.38
560,Masculine,T-shirts and Polos,BLUE,M|L|XL|XXL,3.75
561,Masculine,Shirts,,M|L|XL|XXL,5
562,Masculine,Pants and Jeans,,38|40|42|44|46|48,12.12
563,Masculine,Suits,,M|L|XL|XXL,15.92
564,Masculine,Sportswear,,M|L|XL|XXL,9.52
565,Masculine,Blazers,,M|L|XL|XXL,18.66
566,Masculine,Accessories,,,4.59
567,Children,Baby (0-12 months),PINK,P|M|G,7.01
568,Children,"Girl and Boy (1-5 years, 6-14 years)",,P|M|G|GG,9.82
569,Children,Coats,BLACK,P|M|G,25.25
570,Children,Sweaters,,P|M|G,6.68
571,Children,Pajamas-2,,P|M|G,7.13
572,Children,Accessories,,,11.53
573,Feminine,Coats and Blazers,BLUE,S|M|L|XL,45.58
574,Feminine,Sweaters and Knitwear,TURQUOISE,S|M|L|XL,13.68
575,Feminine,Dresses and Jumpsuits,NEUTRAL,S|M|L|XL,31.68
576,Feminine,Shirts and Blouses,,S|M|L|XL,22.14
577,Feminine,T-shirts and Tops,,S|M|L|XL,10.64
578,Feminine,Pants and Jeans,,36|38|40|42|44|46,27.58
579,Feminine,Skirts and Shorts,,S|M|L|XL,5.83
580,Feminine,Suits and Sets,,S|M|L|XL,44.01
581,Feminine,Sportswear,,S|M|L|XL,9.05
582,Feminine,Pajamas,,S|M|L|XL,2.7
583,Feminine,Accessories,,,1.97
584,Masculine,Coats and Blazers,BLUE,M|L|XL|XXL,8.75
585,Masculine,Sweaters and Sweatshirts,TURQUOISE,M|L|XL|XXL,19.78
586,Masculine,T-shirts and Polos,PINK,M|L|XL|XXL,22.98
587,Masculine,Shirts,,M|L|XL|XXL,16.15
588,Masculine,Pants and Jeans,,38|40|42|44|46|48,9.59
589,Masculine,Suits,,M|L|XL|XXL,12.02
590,Masculine,Sportswear,,M|L|XL|XXL,16.47
591,Masculine,Blazers,,M|L|XL|XXL,5.7
592,Masculine,Accessories,,,7.99
593,Children,Baby (0-12 months),YELLOW,P|M|G,22.81
594,Children,"Girl and Boy (1-5 years, 6-14 years)",NEUTRAL,P|M|G|GG,14.88
595,Children,Coats,BLUE,P|M|G,9.27
596,Children,Sweaters,,P|M|G,5.49
597,Children,Pajamas-2,,P|M|G,5.41
598,Children,Accessories,,,7.56
599,Feminine,Coats and Blazers,,S|M|L|XL,21.77
600,Feminine,Sweaters and Knitwear,BLUE,S|M|L,13.04
601,Feminine,Dresses and Jumpsuits,BLACK,S|M|L|XL,11.64
602,Feminine,Shirts and Blouses,,S|M|L,9.02
603,Feminine,T-shirts and Tops,,S|M|L,3.91
604,Feminine,Pants and Jeans,,36|38|40|42|44|46,15.6
605,Feminine,Skirts and Shorts,,S|M|L|XL,7.81
606,Feminine,Suits and Sets,,S|M|L|XL,36.97
607,Feminine,Sportswear,,S|M|L|XL,25.99
608,Feminine,Pajamas,,S|M|L,14.2
609,Feminine,Accessories,,,2.3
610,Masculine,Coats and Blazers,,M|L|XL|XXL,12.09
611,Masculine,Sweaters and Sweatshirts,GREEN,M|L|XL|XXL,9.06
612,Masculine,T-shirts and Polos,GREEN,M|L|XL|XXL,11.02
613,Masculine,Shirts,,M|L|XL|XXL,7.47
614,Masculine,Pants and Jeans,,38|40|42|44|46|48,21.41
615,Masculine,Suits,,M|L|XL,31.09
616,Masculine,Sportswear,,M|L|XL,14.74
617,Masculine,Blazers,,M|L|XL|XXL,2.05
618,Masculine,Accessories,,,3.31
619,Children,Baby (0-12 months),,P|M|G,4.25
620,Children,"Girl and Boy (1-5 years, 6-14 years)",,P|M|G,17.98
621,Children,Coats,MUSTARD,P|M|G,28.44
622,Children,Sweaters,,P|M|G,5.19
623,Children,Pajamas-2,,P|M|G,16.68
624,Children,Accessories,,,15.1
625,Feminine,Coats and Blazers,PINK,S|M|L|XL,10.43
626,Feminine,Sweaters and Knitwear,BLUE,S|M|L|XL,7.61
627,Feminine,Dresses and Jumpsuits,TURQUOISE,S|M|L|XL,30.67
628,Feminine,Shirts and Blouses,,S|M|L|XL,6.42
629,Feminine,T-shirts and Tops,,S|M|L|XL,8.56
630,Feminine,Pants and Jeans,,36|38|40|42,12.92
631,Feminine,Skirts and Shorts,,S|M|L|XL,10.03
632,Feminine,Suits and Sets,,S|M|L|XL,9.24
633,Feminine,Sportswear,,S|M|L|XL,28.32
634,Feminine,Pajamas,,S|M|L|XL,9.25
635,Feminine,Accessories,,,2.08
636,Masculine,Coats and Blazers,,M|L|XL|XXL,27.67
637,Masculine,Sweaters and Sweatshirts,GREEN,M|L|XL|XXL,11.67
638,Masculine,T-shirts and Polos,PINK,M|L|XL|XXL,10.28
639,Masculine,Shirts,,M|L|XL|XXL,16.87
640,Masculine,Pants and Jeans,,38|40|42|44|46|48,12.89
641,Masculine,Suits,,M|L|XL|XXL,49.6
642,Masculine,Sportswear,,M|L|XL,10.67
643,Masculine,Blazers,,M|L|XL,9.05
644,Masculine,Accessories,,,3.86
645,Children,Baby (0-12 months),NEUTRAL,P|M|G,14.94
646,Children,"Girl and Boy (1-5 years, 6-14 years)",GREEN,P|M|G,12.12
647,Children,Coats,SILVER,P|M|G,4.96
648,Children,Sweaters,,P|M|G,21.59
649,Children,Pajamas-2,,P|M|G,16.64
650,Children,Accessories,,,5.58
651,Feminine,Coats and Blazers,GREEN,S|M|L|XL,18.02
652,Feminine,Sweaters and Knitwear,YELLOW,S|M|L|XL,10.55
653,Feminine,Dresses and Jumpsuits,,S|M|L|XL,33.56
654,Feminine,Shirts and Blouses,,S|M|L|XL,11.69
655,Feminine,T-shirts and Tops,,S|M|L|XL,3.59
656,Feminine,Pants and Jeans,,36|38|40|42|44|46,42.82
657,Feminine,Skirts and Shorts,,S|M|L|XL,10.4
658,Feminine,Suits and Sets,,S|M|L,11.03
659,Feminine,Sportswear,,S|M|L|XL,24.92
660,Feminine,Pajamas,,S|M|L|XL,4.05
661,Feminine,Accessories,,,1.83
662,Masculine,Coats and Blazers,WHITE,M|L|XL,26.93
663,Masculine,Sweaters and Sweatshirts,SILVER,M|L|XL|XXL,22.72
664,Masculine,T-shirts and Polos,BURGUNDY,M|L|XL|XXL,16.78
665,Masculine,Shirts,,M|L|XL|XXL,6.86
666,Masculine,Pants and Jeans,,38|40|42|44|46|48,7.52
667,Masculine,Suits,,M|L|XL|XXL,47.56
668,Masculine,Sportswear,,M|L|XL|XXL,8.46
669,Masculine,Blazers,,M|L|XL|XXL,3.64
670,Masculine,Accessories,,,5.79
671,Children,Baby (0-12 months),SILVER,P|M|G,17.08
672,Children,"Girl and Boy (1-5 years, 6-14 years)",,P|M|G|GG,18.61
673,Children,Coats,LILAC,P|M|G,19.8
674,Children,Sweaters,,P|M|G,19.41
675,Children,Pajamas-2,,P|M|G,2.96
676,Children,Accessories,,,13.65
677,Feminine,Coats and Blazers,GOLD,S|M|L|XL,14.63
678,Feminine,Sweaters and Knitwear,LILAC,S|M|L|XL,10.24
679,Feminine,Dresses and Jumpsuits,NEUTRAL,S|M|L|XL,21.25
680,Feminine,Shirts and Blouses,,S|M|L|XL,9.35
681,Feminine,T-shirts and Tops,,S|M|L|XL,9.08
682,Feminine,Pants and Jeans,,36|38|40|42|44|46,42.04
683,Feminine,Skirts and Shorts,,S|M|L|XL,2.82
684,Feminine,Suits and Sets,,S|M|L|XL,10.77
685,Feminine,Sportswear,,S|M|L|XL,3.92
686,Feminine,Pajamas,,S|M|L|XL,16
687,Feminine,Accessories,,,3.45
688,Masculine,Coats and Blazers,PINK,M|L|XL|XXL,7.05
689,Masculine,Sweaters and Sweatshirts,RED,M|L|XL|XXL,14.5
690,Masculine,T-shirts and Polos,WHITE,M|L|XL|XXL,2.93
691,Masculine,Shirts,,M|L|XL|XXL,4.71
692,Masculine,Pants and Jeans,,38|40|42|44|46|48,7.94
693,Masculine,Suits,,M|L|XL|XXL,63.47
694,Masculine,Sportswear,,M|L|XL|XXL,15.62
695,Masculine,Blazers,,M|L|XL,20.3
696,Masculine,Accessories,,,12.47
697,Children,Baby (0-12 months),TURQUOISE,P|M|G,15.8
698,Children,"Girl and Boy (1-5 years, 6-14 years)",BEIGE,P|M|G|GG,20.14
699,Children,Coats,,P|M|G,23.85
700,Children,Sweaters,,P|M|G,9.22
701,Children,Pajamas-2,,P|M|G,6
702,Children,Accessories,,,8.51
703,Feminine,Coats and Blazers,SILVER,S|M|L|XL,27.64
704,Feminine,Sweaters and Knitwear,GOLD,S|M|L|XL,22.63
705,Feminine,Dresses and Jumpsuits,WHITE,S|M|L|XL,14.55
706,Feminine,Shirts and Blouses,,S|M|L|XL,4.67
707,Feminine,T-shirts and Tops,,S|M|L|XL,4.24
708,Feminine,Pants and Jeans,,36|38|40|42|44,15.07
709,Feminine,Skirts and Shorts,,S|M|L|XL,5.39
710,Feminine,Suits and Sets,,S|M|L|XL,61.83
711,Feminine,Sportswear,,S|M|L,16.23
712,Feminine,Pajamas,,S|M|L|XL,6.25
713,Feminine,Accessories,,,14.08
714,Masculine,Coats and Blazers,MUSTARD,M|L|XL|XXL,29.14
715,Masculine,Sweaters and Sweatshirts,YELLOW,M|L|XL,9.43
716,Masculine,T-shirts and Polos,WHITE,M|L|XL,8.31
717,Masculine,Shirts,,M|L|XL|XXL,19.65
718,Masculine,Pants and Jeans,,38|40|42|44|46|48,7.91
719,Masculine,Suits,,M|L|XL|XXL,55.48
720,Masculine,Sportswear,,M|L|XL|XXL,25.63
721,Masculine,Blazers,,M|L|XL|XXL,20.69
722,Masculine,Accessories,,,10.31
723,Children,Baby (0-12 months),NEUTRAL,P|M|G,15.83
724,Children,"Girl and Boy (1-5 years, 6-14 years)",BLUE,P|M|G|GG,11.74
725,Children,Coats,RED,P|M|G,29.51
726,Children,Sweaters,,P|M|G,15.17
727,Children,Pajamas-2,,P|M|G,8.76
728,Children,Accessories,,,7.27
729,Feminine,Coats and Blazers,GOLD,S|M|L|XL,41.89
730,Feminine,Sweaters and Knitwear,BEIGE,S|M|L|XL,22.79
731,Feminine,Dresses and Jumpsuits,RED,S|M|L,14.26
732,Feminine,Shirts and Blouses,,S|M|L|XL,11.4
733,Feminine,T-shirts and Tops,,S|M|L|XL,6
734,Feminine,Pants and Jeans,,36|38|40|42|44|46,18.58
735,Feminine,Skirts and Shorts,,S|M|L|XL,7.9
736,Feminine,Suits and Sets,,S|M|L|XL,30.72
737,Feminine,Sportswear,,S|M|L|XL,21.65
738,Feminine,Pajamas,,S|M|L,10.92
739,Feminine,Accessories,,,3.67
740,Masculine,Coats and Blazers,TURQUOISE,M|L|XL|XXL,19.96
741,Masculine,Sweaters and Sweatshirts,BLACK,M|L|XL,7.36
742,Masculine,T-shirts and Polos,RED,M|L|XL,10.31
743,Masculine,Shirts,,M|L|XL|XXL,7.86
744,Masculine,Pants and Jeans,,38|40|42|44|46|48,27.44
745,Masculine,Suits,,M|L|XL|XXL,55.16
746,Masculine,Sportswear,,M|L|XL|XXL,15.61
747,Masculine,Blazers,,M|L|XL,16.17
748,Masculine,Accessories,,,13.32
749,Children,Baby (0-12 months),MUSTARD,P|M|G,6.31
750,Children,"Girl and Boy (1-5 years, 6-14 years)",BEIGE,P|M|G|GG,7.2
751,Children,Coats,YELLOW,P|M|G,15.45
752,Children,Sweaters,,P|M|G,4.45
753,Children,Pajamas-2,,P|M|G,13.37
754,Children,Accessories,,,7.69
755,Feminine,Coats and Blazers,BURGUNDY,S|M|L|XL,12.9
756,Feminine,Sweaters and Knitwear,BLUE,S|M|L|XL,18.34
757,Feminine,Dresses and Jumpsuits,MUSTARD,S|M|L,29.88
758,Feminine,Shirts and Blouses,,S|M|L|XL,9.31
759,Feminine,T-shirts and Tops,,S|M|L|XL,18.11
760,Feminine,Pants and Jeans,,36|38|40|42|44|46,10.75
761,Feminine,Skirts and Shorts,,S|M|L|XL,16.36
762,Feminine,Suits and Sets,,S|M|L|XL,16.42
763,Feminine,Sportswear,,S|M|L|XL,8.55
764,Feminine,Pajamas,,S|M|L|XL,4.18
765,Feminine,Accessories,,,3.71
766,Masculine,Coats and Blazers,,M|L|XL|XXL,42.16
767,Masculine,Sweaters and Sweatshirts,BLUE,M|L|XL|XXL,17.32
768,Masculine,T-shirts and Polos,GOLD,M|L|XL|XXL,6.27
769,Masculine,Shirts,,M|L|XL|XXL,3.9
770,Masculine,Pants and Jeans,,38|40|42|44|46|48,19.04
771,Masculine,Suits,,M|L|XL|XXL,43.95
772,Masculine,Sportswear,,M|L|XL|XXL,9.21
773,Masculine,Blazers,,M|L|XL|XXL,3.55
774,Masculine,Accessories,,,4.16
775,Children,Baby (0-12 months),TURQUOISE,P|M|G,10.6
776,Children,"Girl and Boy (1-5 years, 6-14 years)",LILAC,P|M|G|GG,11.98
777,Children,Coats,WHITE,P|M|G,17.06
778,Children,Sweaters,,P|M|G,13.15
779,Children,Pajamas-2,,P|M|G,20.22
780,Children,Accessories,,,2.07
781,Feminine,Coats and Blazers,LILAC,S|M|L|XL,13.53
782,Feminine,Sweaters and Knitwear,BLUE,S|M|L,12.24
783,Feminine,Dresses and Jumpsuits,TURQUOISE,S|M|L|XL,17.6
784,Feminine,Shirts and Blouses,,S|M|L|XL,3.07
785,Feminine,T-shirts and Tops,,S|M|L|XL,6.73
786,Feminine,Pants and Jeans,,36|38|40|42|44|46,33.03
787,Feminine,Skirts and Shorts,,S|M|L|XL,16.61
788,Feminine,Suits and Sets,,S|M|L,27.41
789,Feminine,Sportswear,,S|M|L|XL,32.55
790,Feminine,Pajamas,,S|M|L|XL,12.53
791,Feminine,Accessories,,,2
792,Masculine,Coats and Blazers,SILVER,M|L|XL,39.55
793,Masculine,Sweaters and Sweatshirts,,M|L|XL|XXL,16.34
794,Masculine,T-shirts and Polos,TURQUOISE,M|L|XL|XXL,3.47
795,Masculine,Shirts,,M|L|XL|XXL,10.88
796,Masculine,Pants and Jeans,,38|40|42|44|46|48,15.25
797,Masculine,Suits,,M|L|XL|XXL,42.05
798,Masculine,Sportswear,,M|L|XL|XXL,25.42
799,Masculine,Blazers,,M|L|XL|XXL,19.78
800,Masculine,Accessories,,,14.8
801,Children,Baby (0-12 months),PINK,P|M|G,5.36
802,Children,"Girl and Boy (1-5 years, 6-14 years)",NEUTRAL,P|M|G|GG,19.93
803,Children,Coats,MUSTARD,P|M|G,18.48
804,Children,Sweaters,,P|M|G,10.01
805,Children,Pajamas-2,,P|M|G,14.33
806,Children,Accessories,,,13.22
807,Feminine,Coats and Blazers,BEIGE,S|M|L|XL,38.29
808,Feminine,Sweaters and Knitwear,MUSTARD,S|M|L|XL,25.82
809,Feminine,Dresses and Jumpsuits,RED,S|M|L|XL,18.42
810,Feminine,Shirts and Blouses,,S|M|L|XL,12.39
811,Feminine,T-shirts and Tops,,S|M|L|XL,13.6
812,Feminine,Pants and Jeans,,36|38|40|42|44|46,6.87
813,Feminine,Skirts and Shorts,,S|M|L|XL,2.22
814,Feminine,Suits and Sets,,S|M|L,17.1
815,Feminine,Sportswear,,S|M|L|XL,13.44
816,Feminine,Pajamas,,S|M|L|XL,13.65
817,Feminine,Accessories,,,7.69
818,Masculine,Coats and Blazers,GOLD,M|L|XL|XXL,14.81
819,Masculine,Sweaters and Sweatshirts,RED,M|L|XL|XXL,25.24
820,Masculine,T-shirts and Polos,BLACK,M|L|XL,17.6
821,Masculine,Shirts,,M|L|XL|XXL,14.2
822,Masculine,Pants and Jeans,,38|40|42|44|46|48,12.62
823,Masculine,Suits,BLACK,M|L|XL|XXL,40.57
824,Masculine,Sportswear,,M|L|XL|XXL,26.85
825,Masculine,Blazers,,M|L|XL|XXL,13.25
826,Masculine,Accessories,,,9.04
827,Children,Baby (0-12 months),RED,P|M|G,14.09
828,Children,"Girl and Boy (1-5 years, 6-14 years)",PINK,P|M|G,4.61
829,Children,Coats,LILAC,P|M|G,36.01
830,Children,Sweaters,,P|M|G,8.82
831,Children,Pajamas-2,,P|M|G,19.11
832,Children,Accessories,,,0.69
833,Feminine,Coats and Blazers,,S|M|L|XL,41.98
834,Feminine,Sweaters and Knitwear,WHITE,S|M|L|XL,10.86
835,Feminine,Dresses and Jumpsuits,BLACK,S|M|L|XL,25.2
836,Feminine,Shirts and Blouses,,S|M|L|XL,20.43
837,Feminine,T-shirts and Tops,,S|M|L|XL,15.53
838,Feminine,Pants and Jeans,,36|38|40|42|44|46,24.17
839,Feminine,Skirts and Shorts,,S|M|L|XL,8.58
840,Feminine,Suits and Sets,,S|M|L,62.89
841,Feminine,Sportswear,,S|M|L|XL,25.27
842,Feminine,Pajamas,,S|M|L|XL,15.53
843,Feminine,Accessories,,,7.07
844,Masculine,Coats and Blazers,LILAC,M|L|XL|XXL,13.12
845,Masculine,Sweaters and Sweatshirts,TURQUOISE,M|L|XL|XXL,10.26
846,Masculine,T-shirts and Polos,GREEN,M|L|XL|XXL,8.9
847,Masculine,Shirts,,M|L|XL|XXL,13.66
848,Masculine,Pants and Jeans,,38|40|42|44|46|48,16.99
849,Masculine,Suits,,M|L|XL|XXL,27.87
850,Masculine,Sportswear,,M|L|XL|XXL,9.15
851,Masculine,Blazers,,M|L|XL,10.95
852,Masculine,Accessories,,,10.58
853,Children,Baby (0-12 months),YELLOW,P|M|G,4.15
854,Children,"Girl and Boy (1-5 years, 6-14 years)",GREEN,P|M|G,13.83
855,Children,Coats,TURQUOISE,P|M|G,22.71
856,Children,Sweaters,,P|M|G,17.05
857,Children,Pajamas-2,,P|M|G,10.01
858,Children,Accessories,,,2.44
859,Feminine,Coats and Blazers,SILVER,S|M|L|XL,13.75
860,Feminine,Sweaters and Knitwear,RED,S|M|L|XL,21.4
861,Feminine,Dresses and Jumpsuits,GOLD,S|M|L,8.44
862,Feminine,Shirts and Blouses,,S|M|L|XL,9.78
863,Feminine,T-shirts and Tops,,S|M|L|XL,5.33
864,Feminine,Pants and Jeans,,36|38|40|42|44|46,31.14
865,Feminine,Skirts and Shorts,,S|M|L|XL,12.36
866,Feminine,Suits and Sets,,S|M|L|XL,20.67
867,Feminine,Sportswear,,S|M|L|XL,19.59
868,Feminine,Pajamas,,S|M|L|XL,12.9
869,Feminine,Accessories,,,3.75
870,Masculine,Coats and Blazers,GREEN,M|L|XL|XXL,30.04
871,Masculine,Sweaters and Sweatshirts,WHITE,M|L|XL|XXL,15.5
872,Masculine,T-shirts and Polos,MUSTARD,M|L|XL|XXL,19.25
873,Masculine,Shirts,,M|L|XL|XXL,16.08
874,Masculine,Pants and Jeans,,38|40|42|44|46,13.3
875,Masculine,Suits,,M|L|XL|XXL,55.58
876,Masculine,Sportswear,,M|L|XL,15.4
877,Masculine,Blazers,,M|L|XL|XXL,5.05
878,Masculine,Accessories,,,2.4
879,Children,Baby (0-12 months),NEUTRAL,P|M|G,8.88
880,Children,"Girl and Boy (1-5 years, 6-14 years)",GOLD,P|M|G|GG,32.1
881,Children,Coats,BLUE,P|M|G,18.05
882,Children,Sweaters,,P|M|G,12.02
883,Children,Pajamas-2,,P|M|G,8.43
884,Children,Accessories,,,11.38
885,Feminine,Coats and Blazers,SILVER,S|M|L|XL,17.18
886,Feminine,Sweaters and Knitwear,TURQUOISE,S|M|L|XL,9.74
887,Feminine,Dresses and Jumpsuits,MUSTARD,S|M|L,5.37
888,Feminine,Shirts and Blouses,,S|M|L|XL,10.49
889,Feminine,T-shirts and Tops,,S|M|L|XL,10.26
890,Feminine,Pants and Jeans,,36|38|40|42|44|46,25.05
891,Feminine,Skirts and Shorts,,S|M|L,15.32
892,Feminine,Suits and Sets,,S|M|L|XL,33.91
893,Feminine,Sportswear,,S|M|L|XL,17.85
894,Feminine,Pajamas,,S|M|L|XL,10.21
895,Feminine,Accessories,,,4.1
896,Masculine,Coats and Blazers,BLACK,M|L|XL|XXL,21.67
897,Masculine,Sweaters and Sweatshirts,PINK,M|L|XL|XXL,17.86
898,Masculine,T-shirts and Polos,RED,M|L|XL|XXL,5.36
899,Masculine,Shirts,,M|L|XL|XXL,13.31
900,Masculine,Pants and Jeans,,38|40|42|44|46|48,16.49
901,Masculine,Suits,,M|L|XL|XXL,34.96
902,Masculine,Sportswear,,M|L|XL|XXL,15.36
903,Masculine,Blazers,,M|L|XL|XXL,9.9
904,Masculine,Accessories,,,4.06
905,Children,Baby (0-12 months),BEIGE,P|M|G,21.9
906,Children,"Girl and Boy (1-5 years, 6-14 years)",LILAC,P|M|G|GG,23.99
907,Children,Coats,,P|M|G,19.89
908,Children,Sweaters,,P|M|G,29.2
909,Children,Pajamas-2,,P|M|G,13.96
910,Children,Accessories,,,5.35
911,Feminine,Coats and Blazers,BURGUNDY,S|M|L|XL,9.52
912,Feminine,Sweaters and Knitwear,RED,S|M|L|XL,4.73
913,Feminine,Dresses and Jumpsuits,MUSTARD,S|M|L|XL,8.86
914,Feminine,Shirts and Blouses,,S|M|L|XL,6.6
915,Feminine,T-shirts and Tops,,S|M|L|XL,10.43
916,Feminine,Pants and Jeans,,36|38|40|42|44|46,41.41
917,Feminine,Skirts and Shorts,,S|M|L|XL,9.75
918,Feminine,Suits and Sets,,S|M|L|XL,12.29
919,Feminine,Sportswear,,S|M|L|XL,20.49
920,Feminine,Pajamas,,S|M|L|XL,5.65
921,Feminine,Accessories,,,6.63
922,Masculine,Coats and Blazers,,M|L|XL|XXL,10.01
923,Masculine,Sweaters and Sweatshirts,RED,M|L|XL,17.46
924,Masculine,T-shirts and Polos,PINK,M|L|XL|XXL,8.37
925,Masculine,Shirts,,M|L|XL|XXL,14.27
926,Masculine,Pants and Jeans,,38|40|42|44|46|48,24.29
927,Masculine,Suits,,M|L|XL|XXL,20.33
928,Masculine,Sportswear,,M|L|XL|XXL,6.9
929,Masculine,Blazers,,M|L|XL|XXL,7
930,Masculine,Accessories,,,3.09
931,Children,Baby (0-12 months),BLACK,P|M|G,5.06
932,Children,"Girl and Boy (1-5 years, 6-14 years)",TURQUOISE,P|M|G|GG,5.16
933,Children,Coats,NEUTRAL,P|M|G,14.32
934,Children,Sweaters,,P|M|G,8.18
935,Children,Pajamas-2,,P|M|G,10.76
936,Children,Accessories,,,3.89
937,Feminine,Coats and Blazers,WHITE,S|M|L|XL,28.74
938,Feminine,Sweaters and Knitwear,WHITE,S|M|L|XL,5.68
939,Feminine,Dresses and Jumpsuits,,S|M|L|XL,19.9
940,Feminine,Shirts and Blouses,,S|M|L|XL,14.22
941,Feminine,T-shirts and Tops,,S|M|L|XL,15.09
942,Feminine,Pants and Jeans,,36|38|40|42|44|46,35.84
943,Feminine,Skirts and Shorts,,S|M|L|XL,8.3
944,Feminine,Suits and Sets,,S|M|L|XL,40.94
945,Feminine,Sportswear,,S|M|L|XL,19.58
